,Node,Configuration_Format,Interfaces
0,regiona-ce02,ARISTA,"['Ethernet1', 'Ethernet2', 'Ethernet3', 'Ethernet4', 'Ethernet5', 'Ethernet6', 'Ethernet7', 'Ethernet8', 'Ethernet9', 'Ethernet10', 'Ethernet11', 'Ethernet12', 'Ethernet13', 'Ethernet14', 'Ethernet15', 'Ethernet16', 'Ethernet17', 'Ethernet18', 'Ethernet19', 'Management1', 'Port-Channel1', 'Port-Channel2', 'Port-Channel3', 'Vlan10', 'Vlan20', 'Vlan110', 'Vlan120']"
1,regiona-ce01,ARISTA,"['Ethernet1', 'Ethernet2', 'Ethernet3', 'Ethernet4', 'Ethernet5', 'Ethernet6', 'Ethernet7', 'Ethernet8', 'Ethernet9', 'Ethernet10', 'Ethernet11', 'Ethernet12', 'Ethernet13', 'Ethernet14', 'Ethernet15', 'Ethernet16', 'Ethernet17', 'Ethernet18', 'Ethernet19', 'Management1', 'Port-Channel1', 'Port-Channel2', 'Port-Channel3', 'Vlan10', 'Vlan20', 'Vlan110', 'Vlan120']"
2,regionb-acc01,ARISTA,"['Ethernet1', 'Ethernet2', 'Ethernet3', 'Ethernet4', 'Ethernet5', 'Ethernet6', 'Ethernet7', 'Ethernet8', 'Ethernet9', 'Ethernet10', 'Ethernet11', 'Ethernet12', 'Ethernet13', 'Ethernet14', 'Ethernet15', 'Ethernet16', 'Ethernet17', 'Ethernet18', 'Ethernet19', 'Management1', 'Port-Channel1', 'Port-Channel2']"
3,regionb-pe01,JUNIPER,"['fxp0', 'fxp0.0', 'ge-0/0/0', 'ge-0/0/0.0', 'ge-0/0/1', 'ge-0/0/1.0', 'ge-0/0/2', 'ge-0/0/2.0', 'ge-0/0/3', 'ge-0/0/3.0']"
4,regiona-acc01,ARISTA,"['Ethernet1', 'Ethernet2', 'Ethernet3', 'Ethernet4', 'Ethernet5', 'Ethernet6', 'Ethernet7', 'Ethernet8', 'Ethernet9', 'Ethernet10', 'Ethernet11', 'Ethernet12', 'Ethernet13', 'Ethernet14', 'Ethernet15', 'Ethernet16', 'Ethernet17', 'Ethernet18', 'Ethernet19', 'Management1', 'Port-Channel1', 'Port-Channel2', 'Port-Channel3', 'Port-Channel4']"
5,regionb-ce01,JUNIPER,"['ae0', 'ae0.0', 'ae1', 'ae1.1010', 'ae1.1110', 'ae2', 'ae2.1020', 'ae2.1120', 'fxp0', 'fxp0.0', 'ge-0/0/0', 'ge-0/0/0.0', 'ge-0/0/1', 'ge-0/0/1.0', 'ge-0/0/2', 'ge-0/0/3', 'ge-0/0/4', 'ge-0/0/5', 'ge-0/0/6', 'ge-0/0/7']"
6,regionb-svr01,ARISTA,"['Ethernet1', 'Ethernet2', 'Ethernet3', 'Ethernet4', 'Ethernet5', 'Ethernet6', 'Ethernet7', 'Ethernet8', 'Ethernet9', 'Ethernet10', 'Ethernet11', 'Ethernet12', 'Ethernet13', 'Ethernet14', 'Ethernet15', 'Ethernet16', 'Ethernet17', 'Ethernet18', 'Ethernet19', 'Management1']"
7,regionb-pe02,JUNIPER,"['fxp0', 'fxp0.0', 'ge-0/0/0', 'ge-0/0/0.0', 'ge-0/0/1', 'ge-0/0/1.0', 'ge-0/0/2', 'ge-0/0/2.0', 'ge-0/0/3', 'ge-0/0/3.0']"
8,regiona-pe02,CISCO_IOS_XR,"['GigabitEthernet0/0/0/0', 'GigabitEthernet0/0/0/1', 'GigabitEthernet0/0/0/2', 'GigabitEthernet0/0/0/3', 'GigabitEthernet0/0/0/4', 'GigabitEthernet0/0/0/5', 'GigabitEthernet0/0/0/6', 'GigabitEthernet0/0/0/7', 'GigabitEthernet0/0/0/8', 'GigabitEthernet0/0/0/9', 'GigabitEthernet0/0/0/10', 'GigabitEthernet0/0/0/11', 'GigabitEthernet0/0/0/12', 'GigabitEthernet0/0/0/13', 'GigabitEthernet0/0/0/14', 'GigabitEthernet0/0/0/15', 'GigabitEthernet0/0/0/16', 'GigabitEthernet0/0/0/17', 'GigabitEthernet0/0/0/18', 'GigabitEthernet0/0/0/19', 'GigabitEthernet0/0/0/20', 'GigabitEthernet0/0/0/21', 'GigabitEthernet0/0/0/22', 'GigabitEthernet0/0/0/23', 'GigabitEthernet0/0/0/24', 'GigabitEthernet0/0/0/25', 'GigabitEthernet0/0/0/26', 'GigabitEthernet0/0/0/27', 'GigabitEthernet0/0/0/28', 'GigabitEthernet0/0/0/29', 'GigabitEthernet0/0/0/30', 'GigabitEthernet0/0/0/31', 'GigabitEthernet0/0/0/32', 'GigabitEthernet0/0/0/33', 'GigabitEthernet0/0/0/34', 'GigabitEthernet0/0/0/35', 'GigabitEthernet0/0/0/36', 'GigabitEthernet0/0/0/37', 'GigabitEthernet0/0/0/38', 'GigabitEthernet0/0/0/39', 'GigabitEthernet0/0/0/40', 'GigabitEthernet0/0/0/41', 'GigabitEthernet0/0/0/42', 'GigabitEthernet0/0/0/43', 'GigabitEthernet0/0/0/44', 'GigabitEthernet0/0/0/45', 'GigabitEthernet0/0/0/46', 'GigabitEthernet0/0/0/47', 'GigabitEthernet0/0/0/48', 'GigabitEthernet0/0/0/49', 'GigabitEthernet0/0/0/50', 'GigabitEthernet0/0/0/51', 'GigabitEthernet0/0/0/52', 'GigabitEthernet0/0/0/53', 'GigabitEthernet0/0/0/54', 'GigabitEthernet0/0/0/55', 'GigabitEthernet0/0/0/56', 'GigabitEthernet0/0/0/57', 'GigabitEthernet0/0/0/58', 'GigabitEthernet0/0/0/59', 'GigabitEthernet0/0/0/60', 'GigabitEthernet0/0/0/61', 'GigabitEthernet0/0/0/62', 'GigabitEthernet0/0/0/63', 'GigabitEthernet0/0/0/64', 'GigabitEthernet0/0/0/65', 'GigabitEthernet0/0/0/66', 'GigabitEthernet0/0/0/67', 'GigabitEthernet0/0/0/68', 'GigabitEthernet0/0/0/69', 'GigabitEthernet0/0/0/70', 'GigabitEthernet0/0/0/71', 'GigabitEthernet0/0/0/72', 'GigabitEthernet0/0/0/73', 'GigabitEthernet0/0/0/74', 'GigabitEthernet0/0/0/75', 'GigabitEthernet0/0/0/76', 'GigabitEthernet0/0/0/77', 'GigabitEthernet0/0/0/78', 'GigabitEthernet0/0/0/79', 'GigabitEthernet0/0/0/80', 'GigabitEthernet0/0/0/81', 'GigabitEthernet0/0/0/82', 'GigabitEthernet0/0/0/83', 'GigabitEthernet0/0/0/84', 'GigabitEthernet0/0/0/85', 'GigabitEthernet0/0/0/86', 'GigabitEthernet0/0/0/87', 'GigabitEthernet0/0/0/88', 'GigabitEthernet0/0/0/89', 'GigabitEthernet0/0/0/90', 'GigabitEthernet0/0/0/91', 'GigabitEthernet0/0/0/92', 'GigabitEthernet0/0/0/93', 'GigabitEthernet0/0/0/94', 'GigabitEthernet0/0/0/95', 'GigabitEthernet0/0/0/96', 'GigabitEthernet0/0/0/97', 'GigabitEthernet0/0/0/98', 'GigabitEthernet0/0/0/99', ...]"
9,regionb-ce02,JUNIPER,"['ae0', 'ae0.0', 'ae1', 'ae1.1010', 'ae1.1110', 'ae2', 'ae2.1020', 'ae2.1120', 'fxp0', 'fxp0.0', 'ge-0/0/0', 'ge-0/0/0.0', 'ge-0/0/1', 'ge-0/0/1.0', 'ge-0/0/2', 'ge-0/0/3', 'ge-0/0/4', 'ge-0/0/5', 'ge-0/0/6', 'ge-0/0/7']"
10,regionb-svr02,ARISTA,"['Ethernet1', 'Ethernet2', 'Ethernet3', 'Ethernet4', 'Ethernet5', 'Ethernet6', 'Ethernet7', 'Ethernet8', 'Ethernet9', 'Ethernet10', 'Ethernet11', 'Ethernet12', 'Ethernet13', 'Ethernet14', 'Ethernet15', 'Ethernet16', 'Ethernet17', 'Ethernet18', 'Ethernet19', 'Management1']"
11,regiona-svr01,ARISTA,"['Ethernet1', 'Ethernet2', 'Ethernet3', 'Ethernet4', 'Ethernet5', 'Ethernet6', 'Ethernet7', 'Ethernet8', 'Ethernet9', 'Ethernet10', 'Ethernet11', 'Ethernet12', 'Ethernet13', 'Ethernet14', 'Ethernet15', 'Ethernet16', 'Ethernet17', 'Ethernet18', 'Ethernet19', 'Management1']"
12,regiona-pe01,CISCO_IOS_XR,"['GigabitEthernet0/0/0/0', 'GigabitEthernet0/0/0/1', 'GigabitEthernet0/0/0/2', 'GigabitEthernet0/0/0/3', 'GigabitEthernet0/0/0/4', 'GigabitEthernet0/0/0/5', 'GigabitEthernet0/0/0/6', 'GigabitEthernet0/0/0/7', 'GigabitEthernet0/0/0/8', 'GigabitEthernet0/0/0/9', 'GigabitEthernet0/0/0/10', 'GigabitEthernet0/0/0/11', 'GigabitEthernet0/0/0/12', 'GigabitEthernet0/0/0/13', 'GigabitEthernet0/0/0/14', 'GigabitEthernet0/0/0/15', 'GigabitEthernet0/0/0/16', 'GigabitEthernet0/0/0/17', 'GigabitEthernet0/0/0/18', 'GigabitEthernet0/0/0/19', 'GigabitEthernet0/0/0/20', 'GigabitEthernet0/0/0/21', 'GigabitEthernet0/0/0/22', 'GigabitEthernet0/0/0/23', 'GigabitEthernet0/0/0/24', 'GigabitEthernet0/0/0/25', 'GigabitEthernet0/0/0/26', 'GigabitEthernet0/0/0/27', 'GigabitEthernet0/0/0/28', 'GigabitEthernet0/0/0/29', 'GigabitEthernet0/0/0/30', 'GigabitEthernet0/0/0/31', 'GigabitEthernet0/0/0/32', 'GigabitEthernet0/0/0/33', 'GigabitEthernet0/0/0/34', 'GigabitEthernet0/0/0/35', 'GigabitEthernet0/0/0/36', 'GigabitEthernet0/0/0/37', 'GigabitEthernet0/0/0/38', 'GigabitEthernet0/0/0/39', 'GigabitEthernet0/0/0/40', 'GigabitEthernet0/0/0/41', 'GigabitEthernet0/0/0/42', 'GigabitEthernet0/0/0/43', 'GigabitEthernet0/0/0/44', 'GigabitEthernet0/0/0/45', 'GigabitEthernet0/0/0/46', 'GigabitEthernet0/0/0/47', 'GigabitEthernet0/0/0/48', 'GigabitEthernet0/0/0/49', 'GigabitEthernet0/0/0/50', 'GigabitEthernet0/0/0/51', 'GigabitEthernet0/0/0/52', 'GigabitEthernet0/0/0/53', 'GigabitEthernet0/0/0/54', 'GigabitEthernet0/0/0/55', 'GigabitEthernet0/0/0/56', 'GigabitEthernet0/0/0/57', 'GigabitEthernet0/0/0/58', 'GigabitEthernet0/0/0/59', 'GigabitEthernet0/0/0/60', 'GigabitEthernet0/0/0/61', 'GigabitEthernet0/0/0/62', 'GigabitEthernet0/0/0/63', 'GigabitEthernet0/0/0/64', 'GigabitEthernet0/0/0/65', 'GigabitEthernet0/0/0/66', 'GigabitEthernet0/0/0/67', 'GigabitEthernet0/0/0/68', 'GigabitEthernet0/0/0/69', 'GigabitEthernet0/0/0/70', 'GigabitEthernet0/0/0/71', 'GigabitEthernet0/0/0/72', 'GigabitEthernet0/0/0/73', 'GigabitEthernet0/0/0/74', 'GigabitEthernet0/0/0/75', 'GigabitEthernet0/0/0/76', 'GigabitEthernet0/0/0/77', 'GigabitEthernet0/0/0/78', 'GigabitEthernet0/0/0/79', 'GigabitEthernet0/0/0/80', 'GigabitEthernet0/0/0/81', 'GigabitEthernet0/0/0/82', 'GigabitEthernet0/0/0/83', 'GigabitEthernet0/0/0/84', 'GigabitEthernet0/0/0/85', 'GigabitEthernet0/0/0/86', 'GigabitEthernet0/0/0/87', 'GigabitEthernet0/0/0/88', 'GigabitEthernet0/0/0/89', 'GigabitEthernet0/0/0/90', 'GigabitEthernet0/0/0/91', 'GigabitEthernet0/0/0/92', 'GigabitEthernet0/0/0/93', 'GigabitEthernet0/0/0/94', 'GigabitEthernet0/0/0/95', 'GigabitEthernet0/0/0/96', 'GigabitEthernet0/0/0/97', 'GigabitEthernet0/0/0/98', 'GigabitEthernet0/0/0/99', ...]"
13,regiona-svr02,ARISTA,"['Ethernet1', 'Ethernet2', 'Ethernet3', 'Ethernet4', 'Ethernet5', 'Ethernet6', 'Ethernet7', 'Ethernet8', 'Ethernet9', 'Ethernet10', 'Ethernet11', 'Ethernet12', 'Ethernet13', 'Ethernet14', 'Ethernet15', 'Ethernet16', 'Ethernet17', 'Ethernet18', 'Ethernet19', 'Management1']"
14,regionb-acc02,ARISTA,"['Ethernet1', 'Ethernet2', 'Ethernet3', 'Ethernet4', 'Ethernet5', 'Ethernet6', 'Ethernet7', 'Ethernet8', 'Ethernet9', 'Ethernet10', 'Ethernet11', 'Ethernet12', 'Ethernet13', 'Ethernet14', 'Ethernet15', 'Ethernet16', 'Ethernet17', 'Ethernet18', 'Ethernet19', 'Management1', 'Port-Channel1', 'Port-Channel2']"
